,Район,Адрес,Площадь,clean_address,latitude,longitude
1879,Невский,сквер б/н на Дальневосточном пр. западнее д.42,0.34,санкт-петербург проспект Дальневосточний дом 42,59.8937668,30.4539191
1880,Невский,"сквер б/н на Искровском пр. восточнее д.17, корп.1",0.25,санкт-петербург проспект Искровский дом 17  корпус 1,59.903981,30.4553934
1881,Петроградский,сквер б/н на Съезжинской ул. западнее д.37,0.06,санкт-петербург улица Съезжинская дом 37,59.9539648,30.2954859
1882,Петроградский,сквер б/н  на пл.Академика Лихачёва,0.22,санкт-петербург площадь Академика Лихачёва ,59.9478291,30.2929242
1883,Петроградский,сквер б/н на Большом пр. П.С. у д.11/2,0.05,санкт-петербург проспект П. С. Большой дом 11/2,59.9140587,27.4561184
1884,Петроградский,сквер б/н на ул.Ленина южнее д.5,0.1,санкт-петербург улица Ленина дом 5,59.9605496,30.2988273
1885,Петроградский,сквер б/н на Каменноостровском пр. у д.34,0.1,санкт-петербург проспект Каменноостровский дом 34,59.9648033,30.3017455
1886,Петроградский,сквер б/н на Б.Пушкарской ул. у д.20,0.05,санкт-петербург улица Б.Пушкарская дом 20,59.9577827,30.2909567
1887,Петроградский,"сквер б/н на Б.Посадской ул. между д.6, д.8 и д.10",0.07,санкт-петербург улица Б.Посадская дом 6,59.9582691,30.3119122
1888,Петроградский,сквер б/н на ул.Мира между д.26 и д.28,0.04,санкт-петербург улица Мира дом 26,59.8700695,29.9022542
1889,Петроградский,сквер б/н на Мичуринской ул. северо-западнее д.5,0.05,санкт-петербург улица Мичуринская дом 5,59.9547636,30.3199238
1890,Петроградский,сквер б/н на ул.Куйбышева между д.28 и д.30,0.06,санкт-петербург улица Куйбышева дом 28,59.9569965,30.3206625
1891,Петроградский,сквер б/н на наб.р.Карповки западнее д.13,0.11,санкт-петербург набережная Карповки дом 13,59.9698326,30.2901244
1892,Петроградский,сквер б/н северо-западнее пересечения Бармалеевой ул. и Малого пр. П.С.,0.06,санкт-петербург улица Бармалеевая ,59.9645467,30.2949546
1893,Петроградский,сквер б/н на пл.Шевченко перед д.42б по Каменноостровскому пр.,0.06,санкт-петербург площадь Шевченко ,59.9669381,30.3017107
1894,Петроградский,сквер б/н на ул.Ленина у д.6/17 по Полозовой ул.,0.04,санкт-петербург улица Ленина дом 6/17,59.9636426,30.2908966
1895,Петроградский,сквер б/н ул.Чапаева северо-восточнее пересечения с ул.Рентгена,0.19,санкт-петербург улица Чапаева ,59.9626039,30.3200665
1896,Петроградский,сквер б/н на Ораниенбаумской ул. северо-восточнее д.11 по Стрельнинской ул.,0.04,санкт-петербург улица Ораниенбаумская дом 11,59.9604138,30.2886337
1897,Петроградский,сквер б/н на Колпинской ул. юго-восточнее д.7,0.06,санкт-петербург улица Колпинская дом 7,59.9593921,30.2883458
1898,Петроградский,сквер б/н на Ропшинской ул. северо-западнее д.4,0.04,санкт-петербург улица Ропшинская дом 4,59.9579118,30.2868699
1899,Петроградский,сквер б/н на Чкаловском пр. юго-восточнее пересечения с Пионерской ул.,0.09,санкт-петербург проспект Чкаловский ,59.9628384,30.2837014
1900,Петроградский,сквер б/н на ул.Красного Курсанта юго-западнее д.15/2,0.03,санкт-петербург улица Красного Курсанта дом 15/2,59.9569095,30.2792051
1901,Петроградский,сквер б/н на Б.Разночинной ул. у д.12/20 по Чкаловскому пр.,0.11,санкт-петербург улица Б.Разночинная дом 12/20,59.959339,30.2800482
1902,Петроградский,сквер б/н на Ждановской ул. восточнее пересечения с Гимназическим пер.,0.13,санкт-петербург улица Ждановская ,59.95866,30.2683562
1903,Петроградский,сквер б/н на Пудожской ул. у д.7,0.04,санкт-петербург улица Пудожская дом 7,59.9654657,30.2819797
1904,Петроградский,сквер б/н на Чкаловском пр. напротив д.22,0.04,санкт-петербург проспект Чкаловский ,59.9628384,30.2837014
1905,Петроградский,сквер б/н на Пудожской ул. северо-западнее пересечения с Газовой ул.,0.05,санкт-петербург улица Пудожская ,59.9647338,30.2826719
1906,Петроградский,сквер б/н на Газовой ул. между д.1а и д.7,0.04,санкт-петербург улица Газовая дом 1а,59.9646216,30.2843733
1907,Петроградский,сквер б/н на Газовой ул. южнее д.1а,0.05,санкт-петербург улица Газовая дом 1а,59.9646216,30.2843733
1908,Петроградский,сквер б/н на ул.Красного Курсанта у д.26,0.03,санкт-петербург улица Красного Курсанта дом 26,59.9598176,30.2695901
1909,Петроградский,сквер б/н на ул.Красного Курсанта напротив д.20 и д.22,0.25,санкт-петербург улица Красного Курсанта ,59.9587196,30.2731166
1910,Петроградский,сквер б/н на ул.Ленина юго-западнее д.49,0.05,санкт-петербург улица Ленина дом 49,59.9658441,30.2859549
1911,Петроградский,сквер б/н на наб.Мартынова напротив д.12,0.1,санкт-петербург набережная Мартынова ,59.97483,30.2456046
1912,Петроградский,сквер б/н на Кемской ул. северо-западнее д.7,0.2,санкт-петербург улица Кемская дом 7,59.9727336,30.2526963
1913,Петроградский,сквер б/н на Каменноостровском пр. северо-восточнее Каменноостровского моста,0.04,санкт-петербург проспект Каменноостровский ,59.9660165,30.3011573
1914,Петроградский,парк Тихий отдых (участок 7) северо-западнее пересечения Театральной аллеи и Большой аллеей,0.13,санкт-петербург аллея Театральнойая ,59.9798905,30.2724654
1915,Петроградский,сквер Фёдора Углова на пересечении ул. Рентгена и ул. Льва Толстого,0.25,санкт-петербург улица Рентгена ,59.9644671,30.3136087
1916,Петроградский,"Подковыровский сад между ул.Подковырова, Большим пр. П.С. и Полозовой ул.",0.258,санкт-петербург улица Подковырова ,59.963899,30.2932467
1917,Невский,бульвар б/н между пр. Обуховской Обороны и р. Невой,3.36,санкт-петербург проспект Обуховской Обороны ,59.883651,30.4337468
1918,Василеостровский,бульвар б/н на Шкиперском протоке от Наличной ул. до ул.Шевченко,1.2,санкт-петербург проспект Шкиперский ,59.9074093,30.1301639
1919,Невский,"сквер б/н на ул.Подвойского, д.34, корп.1 и д.42",0.86,санкт-петербург улица Подвойского дом 34  корпус 1,59.9162515,30.4770991
1920,Невский,"сквер б/н напротив д.3, корп.1 по ул. Бадаева",0.4723,санкт-петербург улица Бадаева дом 3  корпус 1,59.9180106,30.4438053
1921,Петроградский,сквер б/н на Саблинской ул. д.3,0.04,санкт-петербург улица Саблинская дом 3,59.9591573,30.295033
1922,Петроградский,"Зеленинский сад между Ропшинской ул., Чкаловским пр. и Б.Зелениной ул.",0.49,санкт-петербург улица Ропшинская ,59.958931,30.2841823
1923,Петроградский,сквер б/н на пересечении Петроградской ул. и Вязовой ул.,1.1,санкт-петербург улица Петроградская ,59.9692566,30.2662696
1924,Фрунзенский,"парк Героев-пожарных между Софийской ул., ул. Димитрова и Бухарестской ул.",54.56,санкт-петербург улица Софийская ,59.8099154,30.4546763
