Район города,Номер по списку,Наименование,"Площадь, га",Основание
Курортный,10009,сквер б/н на пр.Красных Командиров от Любимой ул. до ул.Красных Курсантов,0.52,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10005,"Паровозный сквер между пр.Ленина, Зеленогорским шоссе и линией Финляндской ж.д.",2.97,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10045,"парк б/н на ул.Инструментальщиков, д.15",2.68,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10028,"сквер б/н между ул.Мосина, Перепадской наб. и озером Сестрорецкий Разлив",0.66,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10080,сквер б/н на пересечении Приморского шоссе и Заречной дор.,4.66,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10086,сквер б/н на пересечении Привокзальной ул. и 4-й Дачной ул.,1.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10090,сквер б/н на Прямой ул.,6.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15019,сквер б/н на Круговой ул. у д.7 по Песочной ул.,0.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15020,сквер б/н на Песочной ул. между д.3 и д.5,0.31,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15018,Вокзальный сквер на ул.Красных Партизан между Приморским шоссе и Лахтинским пр.,0.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15001,"сквер б/н на Приморском пр., д.91",1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15021,"Мартыновский сквер между Мартыновской ул., Долгоозёрной ул. и Парашютной ул.",7.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3214,"Удельный парк (участок 1) между Удельным пр., линией Выборгской ж.д., Богатырским пр. и пр. Энгельса",17.99,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7056,Ладожский парк между пр.Косыгина и продолжением пр.Энтузиастов,13.68,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10010,сквер б/н на пересечении Приморского шоссе и Красноармейской ул.,0.77,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4186,"сквер б/н на Гражданском пр. юго-восточнее д.19, корп.2 по пр.Науки",0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4183,сквер б/н на пл.Академика Иоффе,0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4187,"сквер б/н на аллее Академика Глушко восточнее д.71, корп.1 и д.71, корп.2 по Светлановскому пр.",0.88,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4189,сквер б/н на пр.Луначарского между д.100 и д.1 по ул.Ушинского,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4190,"сквер б/н на Гражданском пр. между д.114, корп.1, д.116, корп.5 и д.116, корп.1",0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4191,"сквер б/н на Гражданском пр. между д.114, корп.1, д.112, корп.1 и д.110, корп.1",0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4192,"сквер б/н на Гражданском пр. между д.104, корп.1, д.106, корп.1 и д.108, корп.1",0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4188,сквер б/н на ул.Руставели восточнее д.70,0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4193,сквер б/н на ул.Руставели восточнее пересечения с пр. Луначарского,3.63,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4194,сквер б/н на ул.Верности южнее д.38 корп.1,0.66,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4195,"сквер б/н на пр.Культуры между д.7, корп.1, д.9, корп.1 и д.11, корп.1",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4196,"сквер б/н на пр.Культуры между д.11, корп.1, д.13 и д.15, корп.1",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4200,"сквер б/н на ул.Ушинского восточнее д.2, корп.1",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4201,сквер б/н на пр.Просвещения севернее д.107 по Светлановскому пр.,0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4203,сквер б/н на пр.Луначарского западнее д.91 по Светлановскому пр.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4204,"сквер б/н на Светлановском пр. между д.111, д.113, копр.1 и д.115, корп.1",0.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4205,сквер б/н на Учительской ул. между д.11и д.13,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4206,сквер б/н на Учительской ул. западнее д.11,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4208,сквер б/н на ул.Ушинского восточнее д.18,0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4198,сквер б/н на пр.Просвещения севернее д.18 по ул.Брянцева,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4199,сквер б/н на ул.Брянцева южнее д.15,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7106,"сквер б/н на Полюстровском пр., д.5",0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7107,сквер б/н на Бестужевской ул. между д.39 по Пискарёвскому пр. и д.75 по Бестужевской ул.,1.55,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7109,сквер б/н на ул.Маршала Тухачевского у д.31,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7110,"сквер б/н на Пискарёвском пр. между д.9, корп.1 и д.17, корп.1",0.98,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7111,сквер б/н на ул.Стасовой восточнее д.1,0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7108,сквер б/н на ул.Буренина у д.6,0.99,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7112,"сквер б/н на ул.Маршала Тухачевского западнее д.7, корп.1",0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7113,сквер б/н на ул.Стасовой южнее д.2,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7114,"сквер б/н на Шепетовской ул. между д.3, д.5 и д.7",0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7126,сквер б/н на Якорной ул. у д.4,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7116,сквер б/н на Комаровой ул. южнее д.31 по Панфиловой ул.,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7117,сквер б/н на Б.Пороховской ул. между д.20 и д.24,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7118,сквер б/н на Среднеохтинском пр. между д.39 и д.41,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7119,сквер б/н на Среднеохтинском пр. у д.31,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7120,сквер б/н на Б.Пороховской ул. между д.34 и д.50,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7121,сквер б/н на Б.Пороховской ул. южнее д.24 по пр.Энергетиков,0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7122,"сквер б/н на пр.Энергетиков у д.30, корп.1",0.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7123,"сквер б/н на Краснодонской ул. западнее д.42, корп.1 по Среднеохтинскому пр.",0.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7124,сквер б/н на Конторской ул. западнее д.15,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7127,сквер б/н на Малоохтинском пр. у д.94,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7128,сквер б/н на Малоохтинском пр. у д.86,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7131,сквер б/н на Новочеркасском пр. у д.52,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7132,сквер б/н на пр.Шаумяна между д.69 и д.73,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7133,сквер б/н на Весенней ул. у д.20,0.73,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7134,сквер б/н на Новочеркасском пр. у д.9,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7135,сквер б/н на Малоохтинском пр. между д.38 и д.44,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7136,сквер б/н на Малоохтинском пр. между д.88 и д.92,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7137,сквер б/н на ул.Стахановцев у д.2,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7129,"сквер б/н между д.17, д.19 и д.21 по Перевозному пер.",0.4,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7138,сквер б/н на пр.Шаумяна южнее д.54,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7139,сквер б/н на Новочеркасском пр. севернее д.17,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7140,сквер б/н на Казанской ул. между д.2 и д.16,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7130,"сквер б/н на Новочеркасском пр. у д.36, корп.1",0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7141,сквер б/н на М.Яблоновке вдоль р.Оккервиль,0.51,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7142,сквер б/н на ул.Стахановцев между д.17 и д.10 по Таллинской ул.,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7143,сквер б/н на пр.Шаумяна у д.42,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7145,сквер б/н на пр.Ударников у д.31,0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7144,сквер б/н на пр.Энтузиастов у д.19 по ул.Передовиков,0.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7150,"сквер б/н на пр.Наставников западнее д.25, корп.1 и д.29, корп.1",0.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10095,сквер б/н на Дальней ул. западнее д.7 по Привокзальной ул.,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10096,парк б/н юго-восточнее пересечения Прямой ул. и Курортной ул.,2.56,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10097,сквер б/н восточнее пересечения Артиллерийской ул. и Нижней ул.,1.66,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10098,сквер б/н севернее пересечения Артиллерийской ул. и ул.Восстания,0.75,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10099,сквер б/н в Сосновом пер. между д.36б по Комсомольской ул. и д.4 по Полевой ул.,3.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10100,сквер б/н северо-западнее пересечения Комсомольской ул. и Соснового пер.,3.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10101,сквер б/н на Сосновой ул. восточнее д.11 по Разъезжей ул.,0.56,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10102,сквер б/н юго-восточнее пересечения Сосновой ул. и Разъезжей ул.,0.51,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10103,сквер б/н северо-восточнее пересечения Приморского шоссе и Средней ул.,5.69,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10104,сквер б/н на Горной ул. южнее д.9,0.76,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10105,сквер б/н северо-восточнее пересечения Горной ул. и Приморского шоссе,2.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10106,сквер б/н северо-восточнее пересечения Широкой ул. и Приморского шоссе,1.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10107,сквер б/н северо-западнее пересечения Связной ул. и Приморского шоссе,0.93,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10108,сквер б/н северо-западнее пересечения Кооперативной ул. и Берёзового пер.,0.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10109,сквер б/н на Приморском шоссе западнее д.529,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10110,сквер б/н северо-западнее пересечения Красноармейской ул. и Приморского шоссе,0.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10118,сквер б/н юго-восточнее д.15 по ул.Токарева,0.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10111,сквер б/н северо-западнее пересечения ул. Володарского и наб. р.Сестры,0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10112,сквер б/н на ул.Токарева восточнее д.18,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10113,сквер б/н в Б.Литейном пер. севернее д.14а по ул. Токарева,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10115,сквер б/н на ул.Мосина восточнее д.3,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10117,парк б/н севернее пересечения Приморского шоссе и Заречной дор.,5.91,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10119,сквер б/н восточнее д.6 по Восточной ул.,7.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10124,сквер б/н юго-восточнее пересечения Цветочной ул. и 4-й Дачной ул.,2.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10125,сквер б/н на Привокзальной ул. от ул.Кривцова до ул. Васильева,1.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10126,сквер б/н северо-восточнее пересечения Привокзальной ул. и ул.Васильева,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10127,сквер б/н севернее пересечения Привокзальной ул. и ул.Юрия Германа,0.67,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10130,сквер б/н юго-восточнее пересечения ул.Лейтенантов и Морской ул.,0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10120,сквер б/н северо-западнее пересечения Привокзальной ул. и 2-й Дачной ул.,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10122,сквер б/н на Привокзальной ул. западнее д.44,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10131,сквер б/н на Ленинградской ул. западнее д.68,0.67,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10132,сквер б/н на Приморском шоссе у д.436,2.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10138,"сквер б/н на Привокзальной ул. между д.3 по Финляндской ул. и д.3, д.3а по Финляндскому пер.",0.76,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10133,сквер б/н на Приморском шоссе восточнее д.444,0.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10139,сквер б/н на Большом пр. южнее д.1,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10140,сквер б/н южнее пересечения ул.Репина и 1-й Новой ул.,0.73,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10141,"сквер б/н на Цветочной ул. между д.3а, д.5а и д.40, корп.8 по Привокзальной ул.",0.28,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10142,сквер б/н севернее пересечения Большого пр. и Северной ул.,0.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10134,сквер б/н на Вокзальной ул. восточнее д.3 по Школьной ул.,1.93,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10135,сквер б/н на Зеленогорском шоссе северо-западнее д.8 по Школьной ул.,0.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10136,сквер б/н на Завокзальной ул. у д.10,0.48,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10137,сквер б/н на Приморском шоссе между д.390 и д.392,0.97,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10143,сквер б/н юго-восточнее пересечения Приморского шоссе и Приморского пер.,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10144,сквер б/н юго-восточнее пересечения Приморского шоссе и Кронштадтской ул.,1.91,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10151,сквер б/н юго-западнее пересечения Приморского шоссе и 2-й Боровой ул.,0.58,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10152,сквер б/н юго-восточнее пересечения Приморского шоссе и 2-й Боровой ул.,2.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10153,сквер б/н на Приморском шоссе юго-восточнее д.362,2.96,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10154,сквер б/н северо-западнее пересечения Приморского шоссе и Пионерской ул.,0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10145,сквер  б/н на Приморском шоссе от Колхозной ул. до Ленинградской ул.,0.75,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10155,"сквер б/н на Приморском шоссе южнее д.2, корп.3 по Вокзальной ул.",0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10156,бульвар б/н на Приморском шоссе восточнее д.381,0.8,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10157,сквер б/н северо-западнее пересечения Курносовской ул. и Приморского шоссе,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10146,сквер  б/н  северо-восточнее пересечения Приморского шоссе и Ленинградской ул.,0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10147,сквер б/н на Приморском шоссе южнее д.1д по Лесной ул.,0.46,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10148,сквер б/н северо-восточнее пересечения Приморского шоссе и Лесной ул.,0.59,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10149,сквер б/н северо-западнее пересечения Приморского шоссе и Нагорной ул.,0.74,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Курортный,10150,сквер б/н восточнее пересечения Приморского шоссе и Нагорной ул.,1.48,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кронштадтский,9045,сквер б/н юго-восточнее д.7 по ул.Восстания,2.96,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15184,"сквер б/н на Новоцентральной ул. между д.49 по Лесной ул. и д.2, корп.3 по ул.Морские Дубки",3.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15175,сквер б/н в Гороховом пер. между ул.Савушкина и Приморским пр.,0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15176,сквер б/н на Камышовой ул. между д.20 и д.16,0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15177,сквер б/н на Омской ул. между д.6 и д.8,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15178,сквер б/н на Торжковской ул. между д.26 и д.32,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15179,сквер б/н на наб.Чёрной речки западнее пересечения с Сердобольской ул.,0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Приморский,15180,"сквер б/н на ул.Ильюшина южнее д.13, корп.2",0.31,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4185,Вавиловский сквер на ул. Вавиловых от пр. Науки до ул. Академика Байкова,6.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7115,сквер б/н на пр. Металлистов у д. 36,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7125,сквер б/н на Среднеохтинском пр. между д. 13 и д. 23,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7151,сквер б/н на пересечении пр. Ударников и ул. Коммуны,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3276,сквер б/н западнее д.96 по пр. Энгельса,0.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3018,"сквер б/н на Институтском пр., д.29",1.65,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3028,"сквер б/н на пр. Раевского, д.22",0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3029,сквер б/н на пр. Раевского между д.7 и д.9,1.34,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3030,сквер б/н на пр. Раевского между д.6 и д.14,0.56,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7149,сквер б/н на Отечественной ул. восточнее д.9 по ул.Лазо,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3280,сквер б/н на пересечении ул. Курчатова и ул. Шателена,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3304,сквер б/н на Новороссийской ул. между д.10 и д.14,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3305,сквер б/н на Рашетовой ул. восточнее д.9,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3307,"сквер б/н на Зеленой ул. между д.59, корп.2 и д.61, корп.2 по Светлановскому пр.",0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Выборгский,3129,сквер б/н на берегу Нижнего Большого Суздальского озера между Выборгским шоссе и р.Старожиловкой,2.5,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красногвардейский,7153,"Сад Нева между шоссе Революции, Пискаревским пр. и Полюстровским пр.",11.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
