Район города,Номер по списку,Наименование,"Площадь, га",Основание
Кировский,5169,"сквер б/н на пр.Стачек, д.18",0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5170,сквер б/н в Огородном пер.,0.39,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5172,сквер б/н на пересечении ул.Метростроевцев и Сивкова пер.,0.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5173,"сквер б/н на пл.Стачек, д.7",0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5174,"сквер б/н на пр.Ветеранов, д.9",0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5175,сквер б/н на пересечении Виндавской ул. и Межевого кан.,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5176,"сквер б/н на Межевом кан., д.5",0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5177,сквер б/н вдоль р.Новой между ул.Бурцева и ул.Солдата Корзуна,1.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6002,"сквер Володарского между Адмиралтейской ул., Пролетарской ул. и р.Ижорой",3.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6003,сквер б/н на Раумской ул. у д.48 по ул.Вавилова,4.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6005,сквер б/н на Тверской ул. между д.4 и д.32,3.57,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6007,"Троицкий сад между Соборной ул., наб.Комсомольского кан. и ул.Культуры",1.44,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6008,сквер б/н на пересечении Вознесенского шоссе и Колпинской ул.,1.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6009,парк б/н на Клубной ул. между Садовой ул. и Парковой ул.,3.5,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6010,сад б/н на пересечении Раумской ул. и ул.Вавилова,4.96,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6012,сквер б/н на Вознесенском шоссе напротив ж.-д. ст.Колпино,3.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6014,"Городской сад между бульв.Победы, пр.Ленина и Советским кан.",1.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6016,"сквер б/н на ул.Веры Слуцкой, д.19",2.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6021,сквер б/н между Октябрьской ул. и ж.-д. ст.Колпино,3.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6028,сквер б/н на Пролетарской ул. от ул.Вавилова до Адмиралтейской ул.,1.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6029,"сквер б/н на Адмиралтейской ул., д.50",0.47,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6031,сквер б/н на берегу Ижорского пруда между Раумской ул. и бульв.Трудящихся,1.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6032,сквер б/н на Зеленой наб.,2.61,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6035,сквер б/н на Шлиссельбургском шоссе между д.22 и д.38а,0.97,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6039,"сквер б/н на ул.Судостроителей, д.9",1.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6040,сквер б/н на пересечении Советского пр. и Славянской ул.,2.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6044,сквер б/н на Шлиссельбургском шоссе от д.13 до д.1б по Дорожной ул.,6.73,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6045,"парк б/н на Вознесенском шоссе, д.57",13.49,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1139,сквер б/н в Дровяном пер. юго-восточнее д.3,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1140,сквер б/н южнее пересечения Витебской ул. и Мясной ул.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1143,сквер б/н южнее пересечения Клинского пр. и Можайской ул.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1141,сквер б/н в Подъездном пер. у д.8,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1142,сквер б/н северо-западнее пересечения Подольской ул. и наб.Обводного кан.,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1145,сквер б/н на наб.Обводного кан. у д.147-149,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1146,сквер б/н на 12-й Красноармейской ул. между д.7 и д.11,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1147,сквер б/н на 8-й Красноармейской ул. западнее д.5,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1148,сквер б/н на наб.р.Фонтанки у д.128,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1149,сквер б/н на 7-й Красноармейской ул. у д.11,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
